Id,actualvalues,predictedvalues
2705F.wav,FN,MN
2707M.wav,MH,MN
2708F.wav,FN,FA
2710M.wav,MA,MA
2711M.wav,MA,MA
2712M.wav,MA,MA
2713M.wav,MW,MN
2714M.wav,MH,MA
2715M.wav,MA,MA
2720F.wav,FN,FA
2721M.wav,MN,MN
2722F.wav,FA,FA
2724F.wav,FS,FA
2725M.wav,MW,FS
2726M.wav,MA,MA
2727F.wav,FA,FN
2728M.wav,MS,MS
2729F.wav,FS,FA
2733M.wav,MA,MN
2734F.wav,FN,MA
2735M.wav,MA,MA
2736M.wav,MN,MN
2737F.wav,FW,FA
2738M.wav,MA,MA
2740M.wav,MN,MN
2741M.wav,MA,FA
2743M.wav,MA,MA
2744F.wav,FS,FN
2745F.wav,FA,FA
2746F.wav,FS,FN
2747M.wav,MN,MN
2748M.wav,MN,MN
2749M.wav,MN,MN
2750M.wav,MN,MN
2752M.wav,MN,MN
2753M.wav,MA,MA
2754F.wav,FS,FN
2755M.wav,MH,MA
2756M.wav,MA,MA
2757M.wav,MN,MN
2761F.wav,FN,MA
2762M.wav,MN,MN
2764M.wav,MA,FA
2765M.wav,MH,MN
2766M.wav,MN,MN
2767F.wav,FN,MA
2768F.wav,FA,MA
2769M.wav,MA,MA
2770F.wav,FS,FA
2771M.wav,MN,MN
2772M.wav,MN,MN
2773M.wav,MN,MN
2774M.wav,MS,MN
2775M.wav,MN,MN
2776F.wav,FA,FA
2779M.wav,MN,MN
2780M.wav,MN,MN
2782F.wav,FA,FA
2783M.wav,MH,MA
2784F.wav,FA,FA
2785M.wav,MS,MN
2786M.wav,MS,MS
2787F.wav,FA,FA
2788F.wav,FA,FA
2790F.wav,FN,FN
2791F.wav,FS,FA
2792M.wav,MA,MA
2793M.wav,MW,MN
2794M.wav,MA,MA
2795M.wav,MS,FN
2797F.wav,FA,FA
2798M.wav,MN,MN
2800F.wav,FA,MA
2801F.wav,FS,FA
2802M.wav,MS,FN
2803F.wav,FH,FN
2804M.wav,MA,MN
2805F.wav,FH,FS
2806M.wav,MA,MA
2808M.wav,MA,MA
2810M.wav,MN,MA
2811M.wav,MN,MN
2812F.wav,FS,MN
2813M.wav,MH,MN
